name	length	score	pvalue
S2C48557	3410	0.988056210624143	0.00254668930390492
S2C48631	23464	0.988612733661054	0.00254668930390492
S2C48700	3698	0.737231593124645	0.0386854232355081
S2C48802	6474	0.894283746279147	0.0140674266310939
S2C48895	4287	0.984117096595664	0.00327431481930633
S2C48968	4728	0.992167449211983	0.00194033470773708
S2C48973	2251	0.717943860559984	0.0693984932435126
S2C48979	2183	0.519363212273625	0.147088133296129
S2C49030	2976	0.344584943092608	0.244708414716786
S2C49334	2054	0.61748463789506	0.104635867182206
S2C49396	6977	0.952846337294362	0.0067911714770798
S2C49770	2072	0.88009884090758	0.0216845378084267
S2C49865	4570	0.925492854363686	0.0104292990540868
S2C49976	3442	0.892228637499835	0.0145525103080281
S2C50005	2666	0.946364880913816	0.00661697293418902
S2C50254	2027	0.346261389537829	0.243153824690079
S2C50290	2047	0.91420336842644	0.0137521425439471
S2C50345	97499	0.89409815668262	0.0140674266310939
S2C50427	2112	0.616698011679197	0.105034480009567
S2C50503	2137	0.13815702153389	0.469047713955435
S2C50520	2169	0.158664215233942	0.438713277793279
S2C50545	2103	0.742868260629654	0.0618248495236577
S2C50651	2379	0.778640377425104	0.0501056323992506
S2C51147	2816	0.378653211254978	0.221509148164388
S2C51148	6379	0.968298506374544	0.00533592044627698
S2C51366	2639	0.139538188876191	0.466616175708534
S2C51600	3735	0.890063046387125	0.0147950521464953
S2C51625	59595	0.353049446061311	0.136793596895464
S2C51943	2164	0.196353845025376	0.385299158926934
S2C52262	3605	0.827419150718512	0.0246179966044143
S2C52483	2730	0.528186407977927	0.142822976043369
S2C52486	2124	0.616267438305221	0.105074341292303
S2C52689	3263	0.895933461150646	0.0138248847926267
S2C52876	2133	0.138787646360483	0.468051181887033
S2C52968	4660	0.978413047706709	0.0037593984962406
S2C52971	2359	0.86522769931092	0.0257503886475067
S2C52981	3290	0.581380153571986	0.0694882367208343
S2C53112	2639	0.0170432541033745	0.852313947462829
S2C53366	2581	0.349011944003671	0.241599234663371
S2C53423	2633	0.574724671169162	0.122573444413441
S2C53473	9236	0.991371280982251	0.00206160562697065
S2C53521	3156	0.975465079888102	0.00400194033470774
S2C53614	2706	0.662287910370639	0.0873360704747479
S2C53901	2138	0.876436425971821	0.0224817634631482
S2C54029	2254	0.772105748370509	0.0520189739705824
S5C2	6154	0.543272278204097	0.0780984719864177
S5C3	2423	0.204773975813419	0.374855502850082
S5C10	2227	0.953916735657662	0.00538127316937059
S5C20	5167	0.115059188643454	0.31203007518797
S5C27	2460	0.869162275781698	0.0245146888826882
S5C89	2825	0.0571660020649984	0.660222425957667
S5C90	2414	0.703505564716301	0.0735440666480647
S5C97	6324	0.288464678365658	0.167353868542324
S5C118	6756	0.0260878774569444	0.57070094591317
S5C154	6520	0.156384037784453	0.262915352898375
S5C190	7112	0.967555691435604	0.00533592044627698
S5C192	4257	0.344435156005042	0.140552995391705
S5C237	2130	0.54299375733179	0.135528361302667
S5C329	3206	0.00843166108247311	0.749575551782683
S5C350	3445	0.0110504121416292	0.710041232112539
S5C415	2814	0.505945138607008	0.153226770837486
S5C437	3942	0.469883589738525	0.0962891098714528
S5C470	3627	0.122165287848479	0.302207130730051
S5C511	8322	0.187738410483669	0.234052874120786
S5C524	5280	0.798862520498327	0.0287412078583556
S5C558	4654	0.928757724973328	0.0101867572156197
S5C576	5326	0.956760709064784	0.00654862963861266
S5C608	21062	0.816931375837694	0.0257094348775164
S5C614	3805	0.0344309438942807	0.520009701673539
S5C617	2075	0.349305048191147	0.241360066966955
S5C655	2776	0.744995934216879	0.0610674851516722
S5C662	6410	0.0267089229204583	0.566335192820762
S5C764	3462	0.0497062756849852	0.453674508852777
S5C790	2341	0.0459410187906541	0.701757882568661
S5C832	4016	0.964824845577821	0.00569973320397769
S5C848	3299	0.634259827642905	0.0589376667475139
S5C855	3473	0.998521231414192	0.000485083676934271
S5C859	8902	0.208072404527015	0.217681300024254
S5C873	4707	0.113792908454088	0.314576764491875
S5C909	2910	0.894254816079337	0.0183760513413322
S5C933	2020	0.309859677724212	0.271176306453542
S5C945	5749	0.224942279440862	0.203856415231627
S5C954	6105	0.121036652379741	0.303419839922387
S5C975	2206	0.156487353455842	0.441663012715749
S5C983	3132	0.0166786618350322	0.647344166868785
S5C1001	3496	0.634944562599931	0.0588163958282804
S5C1017	3017	0.624929211181333	0.0612418142129517
S5C1034	2358	0.427168885297528	0.19292860844262
S5C1124	2782	0.16584635095615	0.42783114760633
S5C1183	4973	0.270366375086717	0.178268251273345
S5C1185	6371	0.0624690107751302	0.412927479990298
S5C1215	3580	0.0406006516023039	0.488600533592045
S5C1224	3153	0.0255809026772939	0.573126364297841
S5C1253	6567	0.0274602066634315	0.561969439728353
S5C1305	2499	0.0268430696107084	0.792482162075976
S5C1317	2071	0.140245353268567	0.465579782357396
S5C1360	3275	0.904318382880145	0.0129759883579918
